name,category,description,classified_as,google product category
,Rings->Gemstone Rings,Orchid Jewelry Silver Overlay Cushion Cut Citrine Ring,ring,
,Daily Living Aids->Toilet & Shower Aids,Buckingham Pocket Easywipe Toilet Aid with Ergonomic handle - White - N/A,wipe,
,As Is->As Is,Nouvelle Home Painterly Paisley Blue Cotton Reversible Comforter Set (As Is Item),comforter,
,Fan Shop->College Themed,Clemson Tigers 2018 Football National Champions Two-Tone Mint Coin,coin,
,As Is->As Is,Chiara Rose Reversible Water Resistant Sofa Loveseat Armchair Slipcover Quilted Furniture Protector (As Is Item),seat cover,
,Storage & Organization->Garage Storage,The Shark - Super Space Saver & Garage Organizer,organizer,
,Team Sports->Gymnastics,"Milliard Gymnastics Mailbox Tumbling Aid Trainer, Spotting Equipment, 24x16x19.5 inches Blue/Red",box,
,As Is->As Is,Broadview Small Hutch Organizer for 60W Desk in Espresso Oak (As Is Item),organizer,
,Daily Living Aids->Assistive Products,Memory Foam Seat Cushion-3?Ç¥ Thick Pad-With Handle and Cover-Comfortably Supports Weight up to 550lbs by Bluestone,seat cover,
,As Is->As Is,Blazing Needles 40-inch Indoor Microsuede Bench Cushion (As Is Item),chair cushion,
,As Is->As Is,Swiss Comforts Luxurious Hand-crafted Brushed Velvet Down Alternative Reversible Comforter Set (As Is Item),comforter,
,As Is->As Is,"Relaxzen 60-2955 Full Back Shiatsu and Rolling Massager with Heat, Beige/Dark Gray (As Is Item)",massager,
,Decorative Accessories->Accent Pieces,Summerfield Terrace Patio and Indoor Iron Decorative Bucket Plant Stand Set - N/A,bucket,
,Antenna Cables And Masts->Adapter,3-Socket Cigarette Lighter Splitter W/ 2 USB Car Charger Adapter Voltage Display,splitter,
,Cell Phone Accessories->Other Cell Phone Accessories,"Miami CarryOn IPX8 Universal Waterproof Case, Cellphone Dry Bag, Strap",case,
,Cell Phone Accessories->Screen Protectors,INSTEN 0.33mm Clear Tempered Glass LCD Screen Protector Film Cover For Apple iPhone 7/8,screen protector,
,Decorative Accessories->Accent Pieces,Cheung's Black Wood Shagreen Box with Antique Map Etched Glass Top - Set of 2 - N/A,box,
,Other Crafts->Other Crafts,Blue Feather Grabbit Magnetic Pincushion Teal,electro-magnet,
,Desk Accessories->Desk Organizers,Blun Monaco 5 Piece Pink Metal Desk Organizer Set,organizer,
,Travel Accessories->Travel Accessories,Miami CarryOn International Travel Adapter - Surge Protected,adapter,
,Daily Living Aids->Sensory Products,Acousticon Hearing Aids Behind The Ear Audiphone Sound Amplifier JZ-1088F,hearing aid,
,Other Crafts->Other Crafts,AMC JaneD Glitz Sea Sparkle Markers Warm Seas,marker,
,Wedding Rings->Engagement Rings,Auriya Cushion-Cut 1 3/5ct Blue Sapphire and 2/5ct TDW Diamond Halo Engagement Ring 14K Gold,ring,
,Plumbing->Pumps,"1"" 2-Cycle Water Transfer Pump w 3/4"" Garden Hose Adapter",adapter,
,Living Room Furniture->Sofas & Couches,Chester Dog's Sofa in Beige Fabric,sofa,
,Wedding Rings->Engagement Rings,Miadora 14k White Gold 3/4ct TDW Cushion and Round-Cut Diamond Halo Engagement Ring,ring,
,Yard Care->Other Yard Care,"Classic Accessories StormPro RainProof Heavy-Duty Log Splitter Cover - log splitters 82""l x 45""w x 34""h",log splitter,
,Fan Shop->College Themed,Clemson Tigers 2018 Football National Champions Gold Mint Coin,coin,
,Fan Shop->College Themed,Alabama Crimson Tide 2018 Football National Champions Deluxe Gold Coin Ticket Collection,coin,
,Other Crafts->Other Crafts,Jesse James White Label Dsgn Elmnt Vintage Bloom,label,
,Decorative Accessories->Accent Pieces,Crab Coin Dish,coin,
,Other Crafts->Other Crafts,Jesse James White Label Inspiration SomeLikeItHot,label,
,Decorative Accessories->Accent Pieces,Chris Craft Runabout with Display Case - N/A,"suitcases, carrying cases, storage cases and similar articles",
,Decorative Accessories->Accent Pieces,Wood Rectangle Tray with Screwed Side Rope Handles and Metal Sheet Ins,tray,
,As Is->As Is,Myra Rustic Mobile Serving Cart with Wine Inserts and Removable Tray Top by iNSPIRE Q Classic (As Is Item),tray,
,As Is->As Is,Southern Hills Cedarbrook Satin Nickel Cabinet Pulls with 4-inch Screw Spacing (Pack of 25) (As Is Item),pull,
,As Is->As Is,American Brass Celcon Bath Faucet 2 Handle Mobile Home Chrome Plated Plastic (As Is Item),faucet,
,Decorative Accessories->Accent Pieces,Kate and Laurel Forgeham Metal Tray with Handles - 26x6,tray,
,Decorative Accessories->Accent Pieces,3-Tier Metal Tray Black & Gold,decorative or ornamental article,
