name,category,description,classified_as,google product category	google product category
,Rings->Gemstone Rings,Orchid Jewelry Silver Overlay Cushion Cut Citrine Ring,ring,	Hardware > Plumbing > Plumbing Fittings & Supports > Gaskets & O-Rings
,Daily Living Aids->Toilet & Shower Aids,Buckingham Pocket Easywipe Toilet Aid with Ergonomic handle - White - N/A,wipe,	Hardware > Plumbing > Plumbing Fixtures > Toilets & Bidets > Toilets
,As Is->As Is,Nouvelle Home Painterly Paisley Blue Cotton Reversible Comforter Set (As Is Item),comforter,	Home & Garden
,Fan Shop->College Themed,Clemson Tigers 2018 Football National Champions Two-Tone Mint Coin,coin,	Health & Beauty > Personal Care > Cosmetics > Skin Care > Toners & Astringents
,As Is->As Is,Chiara Rose Reversible Water Resistant Sofa Loveseat Armchair Slipcover Quilted Furniture Protector (As Is Item),seat cover,	Home & Garden > Linens & Bedding > Bedding > Quilts & Duvets
,Storage & Organization->Garage Storage,The Shark - Super Space Saver & Garage Organizer,organizer,	Home & Garden > Lawn & Garden > Outdoor Living > Outdoor Structures > Sheds, Garages & Carports
",Team Sports->Gymnastics,""Milliard Gymnastics Mailbox Tumbling Aid Trainer, Spotting Equipment, 24x16x19.5 inches Blue/Red"",box,"	Sporting Goods > Athletics > Gymnastics
,As Is->As Is,Broadview Small Hutch Organizer for 60W Desk in Espresso Oak (As Is Item),organizer,	Furniture > Office Furniture > Desks
,Daily Living Aids->Assistive Products,Memory Foam Seat Cushion-3?Ç¥ Thick Pad-With Handle and Cover-Comfortably Supports Weight up to 550lbs by Bluestone,seat cover,	Electronics > Electronics Accessories > Power > UPS
,As Is->As Is,Blazing Needles 40-inch Indoor Microsuede Bench Cushion (As Is Item),chair cushion,	Home & Garden > Decor > Chair & Sofa Cushions
,As Is->As Is,Swiss Comforts Luxurious Hand-crafted Brushed Velvet Down Alternative Reversible Comforter Set (As Is Item),comforter,	Health & Beauty > Personal Care > Hair Care > Hair Styling Tools > Combs & Brushes
",As Is->As Is,""Relaxzen 60-2955 Full Back Shiatsu and Rolling Massager with Heat, Beige/Dark Gray (As Is Item)"",massager,"	Health & Beauty > Personal Care > Massage & Relaxation > Massagers
,Decorative Accessories->Accent Pieces,Summerfield Terrace Patio and Indoor Iron Decorative Bucket Plant Stand Set - N/A,bucket,	Home & Garden > Lawn & Garden > Gardening > Plant Stands
,Antenna Cables And Masts->Adapter,3-Socket Cigarette Lighter Splitter W/ 2 USB Car Charger Adapter Voltage Display,splitter,	Electronics > Electronics Accessories > Adaptors > USB Adapters
",Cell Phone Accessories->Other Cell Phone Accessories,""Miami CarryOn IPX8 Universal Waterproof Case, Cellphone Dry Bag, Strap"",case,"	Clothing & Accessories > Handbags, Wallets & Cases
,Cell Phone Accessories->Screen Protectors,INSTEN 0.33mm Clear Tempered Glass LCD Screen Protector Film Cover For Apple iPhone 7/8,screen protector,	Electronics > Electronics Accessories > Electronics Films & Shields > Screen Protectors
,Decorative Accessories->Accent Pieces,Cheung's Black Wood Shagreen Box with Antique Map Etched Glass Top - Set of 2 - N/A,box,	Clothing & Accessories > Clothing > Shirts & Tops
,Other Crafts->Other Crafts,Blue Feather Grabbit Magnetic Pincushion Teal,electro-magnet,	Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Feathers
,Desk Accessories->Desk Organizers,Blun Monaco 5 Piece Pink Metal Desk Organizer Set,organizer,	Furniture > Office Furniture > Desks
,Travel Accessories->Travel Accessories,Miami CarryOn International Travel Adapter - Surge Protected,adapter,	Electronics > Electronics Accessories > Power > Travel Converters & Adapters
